,count,mean,std,min,25%,50%,75%,max
Unnamed: 150,6257.0,3751.305417931916,406.2210224460273,1652.0,3567.0,3599.0,3698.0,5522.0
Unnamed: 151,6257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed: 152,6257.0,6110.719034681157,1872.448569939606,3321.0,4521.0,5874.0,7130.0,11507.0
Unnamed: 153,6257.0,44087.099728304296,3183.024085357866,9446.0,42562.0,44677.0,46391.0,52607.0
Unnamed: 154,6257.0,47588.512705769535,1450.0140117080166,7710.0,47248.0,47726.0,48204.0,53074.0
Unnamed: 155,6257.0,53246.19066645357,1201.9450004608518,17296.0,52764.0,53242.0,53706.0,91614.0
Unnamed: 156,6257.0,4430.0938149272815,542.8617978588943,3600.0,4093.0,4302.0,4409.0,6605.0
Unnamed: 157,6257.0,54536.44222470833,2965.973506296378,12092.0,53014.0,55404.0,56591.0,63932.0
Unnamed: 158,6257.0,4735.101805977305,1788.8866140140833,2722.0,3528.0,3564.0,6658.0,9323.0
Unnamed: 159,6257.0,57686.13680677641,1920.6621266163654,11177.0,57265.0,57826.0,58377.0,63568.0
Unnamed: 160,6257.0,6567.30653667892,1986.260229954008,0.0,4865.0,6360.0,7772.0,12316.0
Unnamed: 161,6257.0,4463.005274093016,3203.8546035649315,238.0,1054.0,6934.0,7411.0,9231.0
Unnamed: 162,6257.0,48888.22614671568,7232.242033030214,10449.0,43049.0,47445.0,56856.0,63002.0
Unnamed: 163,6257.0,6236.875339619626,763.2547439422821,1548.0,5543.0,6594.0,6911.0,7775.0
Unnamed: 164,6257.0,9493.440786319323,1373.0614983483808,2068.0,8635.0,9571.0,10528.0,12547.0
Unnamed: 165,6257.0,4415.074796228225,348.5040782407144,1720.0,4105.0,4354.0,4695.0,5738.0
Unnamed: 166,6257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed: 167,6257.0,43361.93671088381,6128.9502153694475,8909.0,38360.0,40226.0,49022.0,70374.0
Unnamed: 168,6257.0,54256.897554738694,1595.0473249666015,9402.0,53940.0,54418.0,54910.0,59762.0
Unnamed: 169,6257.0,2876.8488093335463,984.469349980365,1421.0,2268.0,2300.0,3567.0,5998.0
Unnamed: 170,6257.0,2724.705929359118,413.8881843851024,2210.0,2453.0,2667.0,2708.0,4726.0
Unnamed: 171,6257.0,907.3765382771296,572.0571404528339,0.0,630.0,630.0,648.0,3104.0
Unnamed: 172,6257.0,28038.20584944862,868.9087343130653,6760.0,27784.0,28134.0,28334.0,32476.0
Unnamed: 173,6257.0,17052.98993127697,3024.679369893523,2796.0,16068.0,17860.0,18993.0,23739.0
Unnamed: 174,6257.0,8548.788237174365,893.275687048153,1127.0,8496.0,8522.0,8596.0,15549.0
Unnamed: 175,6257.0,1972.5540994086623,245.1438222679162,703.0,1861.0,1901.0,1997.0,3353.0
Unnamed: 176,6257.0,7027.430877417292,936.9981100177671,1020.0,6238.0,7143.0,7809.0,9143.0
Unnamed: 177,6257.0,5286.780885408342,3121.083523814599,2358.0,2628.0,3434.0,8179.0,12569.0
Unnamed: 178,6257.0,22942.547546747643,3418.934699422751,6212.0,20330.0,21086.0,26606.0,31048.0
Unnamed: 179,6257.0,16275.811091577434,2744.01439607521,6506.0,14599.0,15876.0,18746.0,24089.0
Unnamed: 180,6257.0,17141.37781684513,3481.8197996366907,5482.0,14813.0,17891.0,19593.0,23870.0
Unnamed: 181,6257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed: 182,6257.0,27568.159181716477,923.8255059533611,6092.0,27208.0,27650.0,28110.0,30590.0
Unnamed: 183,6257.0,3277.945341217836,634.4349880367483,741.0,2874.0,3005.0,3255.0,4830.0
Unnamed: 184,6257.0,2508.022694582068,385.5067132430541,1870.0,2264.0,2481.0,2521.0,4573.0
Unnamed: 185,6257.0,3491.65334824996,2489.5760116712304,1210.0,1902.0,2761.0,4229.0,17067.0
Unnamed: 186,6257.0,3312.0087901550264,369.8808814346236,1783.0,3030.0,3365.0,3591.0,4827.0
Unnamed: 187,6257.0,18429.3671088381,4590.358325506385,2872.0,15263.0,17656.0,20550.0,31068.0
Unnamed: 188,6257.0,3365.3928400191785,311.2450624099245,1111.0,3222.0,3428.0,3595.0,4139.0
Unnamed: 189,6257.0,23932.741729263224,627.4783609430733,5729.0,23827.0,23979.0,24084.0,26546.0
Unnamed: 190,6257.0,2237.2443663097333,202.65315455037708,1053.0,2089.0,2170.0,2350.0,3241.0
Unnamed: 191,6257.0,3657.2181556656546,634.3009278523967,954.0,3252.0,3386.0,3648.0,5208.0
Unnamed: 192,6257.0,1604.4021096372064,829.2221806722281,344.0,1284.0,1764.0,1799.0,7622.0
Unnamed: 193,6257.0,14456.197538756593,2581.627601816969,5860.0,12829.0,14428.0,16570.0,20405.0
Unnamed: 194,6257.0,3156.058973949177,285.7972229180255,1234.0,3064.0,3093.0,3122.0,5348.0
Unnamed: 195,6257.0,7119.6579830589735,2612.687373574159,1079.0,5339.0,7415.0,9017.0,14516.0
Unnamed: 196,6257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
